source,target,category,notes,example_source,example_wrong,example_correct
ガッカリ,"실망하다, 낙담하다, 김이 빠지다",의성어,"상대방의 기대에 미치지 못해 기운이 꺾이거나 실망하는 심리 상태를 나타낸다. 소설 문맥에서는 단순히 '실망하다'라고 하기보다, 화자의 불안한 심리를 반영하여 '실망하면 어쩌나', '낙담할까 봐'와 같이 문장 흐름에 맞춰 자연스럽게 의역하는 것이 좋다.",「私って満里奈さんみたいにグラマラスじゃないから、浩太くんガッカリするかなぁって少し不安だったから」,코타 군이 가라카리할까 봐 조금 불안했어.,코타 군이 실망하면 어쩌나 싶어서 조금 불안했거든.
クチャクチャ,"쩝쩝, 쩝적쩝적",의성어,"입안에서 무언가를 씹거나 섞을 때 나는 젖은 마찰음을 나타낸다. 본 문맥에서는 치태(恥垢)를 씹는 행위의 불쾌함과 무례함을 강조하기 위해, 소설적 허용을 더해 '쩝쩝' 혹은 '쩝적쩝적'과 같이 소리의 질감이 느껴지도록 의역하는 것이 자연스럽다. 단순히 소리만 옮기기보다 문장의 흐름에 맞춰 '쩝쩝거리며' 혹은 '쩝적거리는' 등의 형태로 변주해야 한다.",そして、いつしかクチャクチャと、まるで行儀悪くガムでも噛むかのように恥垢の咀嚼を始めていた。,"그리고 어느덧 쿠챠쿠챠하며, 마치 예의 없이 껌이라도 씹는 것처럼 치태의 저작을 시작하고 있었다.","그리고 어느덧 쩝쩝거리며, 마치 예의 없이 껌이라도 씹는 것처럼 치태를 씹어대기 시작했다."
ツルツル,"매끈매끈한, 매끄러운",의성어,"피부나 표면이 거칠지 않고 부드럽게 빛나는 상태를 나타낸다. 문맥상 성기 주변에 체모가 없어 피부가 아주 깨끗하고 부드러운 상태를 묘사하므로, 소설적 허용을 더해 '매끈매끈한' 혹은 '매끄러운'으로 번역하여 시각적·촉각적 이미지를 살려야 한다. 단순히 '미끄러운'이라고 하면 윤활제 등으로 인한 미끄러움과 혼동될 수 있으니 주의한다.",可愛らしい見た目通り、浩太くんのペニスは皮を被ったとても愛くるしい姿でした。興奮したことで血流を受けて勃起していましたが、成人男性のソレと比べるとまだまだ小さく、毛も生えていないツルツルの男性器はまるで別物のようにさえ思えました。,털도 나지 않은 츠루츠루한 남성기는 마치 별개의 물건처럼 느껴졌다.,털도 나지 않은 매끈매끈한 남성기는 마치 별개의 물건처럼 느껴지기까지 했다.
モジモジ,"머뭇머뭇, 주뼛주뼛, 안절부절",의성어,"상대방의 눈치를 보거나 쑥스러워하며 행동을 망설이는 모양을 나타낸다. 소설의 문맥상 코타가 주인공의 침실을 둘러보며 느끼는 민망함이나 어색함을 표현해야 하므로, 단순히 '망설이다'라는 동사형보다는 '머뭇거리며', '주뼛거리며'와 같이 동작의 느낌을 살린 부사적 표현으로 의역하는 것이 자연스럽다.",浩太くんはモジモジしながら私の寝室を見回している。急なことだったのであまり掃除はしていないが、元々、あまり物を多く置く方ではないし、日頃からそれなりに掃除はしているので見られて恥ずかしいほど散らかっている訳ではないと自分では思っている。,코타 군은 모지모지하면서 내 침실을 둘러보고 있다.,코타 군은 머뭇거리며 내 침실을 둘러보고 있다.
ゴツゴツ,"울퉁불퉁한, 투박한",의성어,"신체 부위나 질감이 매끄럽지 않고 뼈나 근육이 도드라져 거친 느낌을 줄 때 사용한다. 문맥상 성인 남성의 단단하고 거친 골격을 묘사하므로, '울퉁불퉁한' 혹은 '투박한'으로 번역하여 부드러운 피부와 대비를 이루게 하는 것이 자연스럽다. 단순히 형태만 말하는 것이 아니라 질감의 거칠음을 포함하여 의역해야 한다.",第二次性徴前の身体は成人男性特有のゴツゴツした感じはなく、きめ細やかな肌艶は女性を彷彿とさせる。それが若さの特権だと言ってしまえばそうなのだろうが、正直、私よりも肌が綺麗だった。,"성인 남성 특유의 고츠고츠한 느낌은 없고,","성인 남성 특유의 울퉁불퉁하고 거친 느낌은 없으며,"
ゾワゾワ,"오싹오싹, 소름이 쫙, 전율이 일며",의성어,"단순히 추위로 인한 떨림뿐만 아니라, 성적인 쾌감이나 긴장감으로 인해 등줄기를 타고 흐르는 감각을 묘사한다. 문맥상 쾌락의 전조 증상으로서 몸이 떨리는 느낌을 전달해야 하므로, '소름이 돋다' 혹은 '전율이 일다'와 같이 문장 흐름에 맞춰 자연스럽게 의역하는 것이 중요하다. '조와조와'와 같은 직역은 피해야 한다.",ゾワゾワという寒気のような感覚が背中を走る。この感覚が絶頂の前駆症状だということを私は彼と触れ合うことで知った。何故なら、彼と出会うまで私は真の意味で絶頂という衝撃を体験したことがなかった。夫で感じたあの感覚は偽りで、夫とのアレは絶頂ではなかったことを思い知った。,조와조와하는 한기 같은 감각이 등을 달린다.,등줄기를 타고 오싹한 한기 같은 감각이 스쳐 지나갔다.
ビショビショ,"흠뻑, 축축, 흠뻑 젖은",의성어,"액체에 의해 완전히 젖은 상태를 나타낸다. 소설의 문맥에 따라 '흠뻑 젖었다', '축축하게 젖었다' 혹은 상태를 강조하는 '물에 빠진 듯한' 등으로 의역해야 자연스럽다. 단순히 '비쇼비쇼'라고 음차하거나 '축축하다'로만 고정하기보다, 문장의 어조(감탄사 '아하하!' 등)에 맞춰 생동감 있게 표현해야 한다.",「あはは！　すげぇビショビショ！」,「아하하! 엄청 비쇼비쇼해!」,「아하하! 엄청 흠뻑 젖었잖아!」
ベットリ,"축축하게, 흠뻑, 질척하게",의성어,"액체에 의해 무언가가 완전히 젖어 달라붙거나 엉겨 붙은 상태를 나타낸다. 소설적 문맥에서는 단순히 '젖어 있다'는 표현보다 액체의 점도나 양감을 살려 '축축하게 젖어', '흠뻑 젖어', 혹은 상황의 농밀함을 강조할 때는 '질척하게 젖어' 등으로 의역하는 것이 자연스럽다. '베토리'라는 발음을 그대로 옮기거나 '끈적하게'로만 한정 짓지 말고, 문장의 흐름에 따라 젖은 정도를 묘사하는 부사로 활용해야 한다.",その言葉が示すように、私の内腿や彼の腕は私の秘部から噴き出した愛液によってベットリと濡れており、床には水溜まりが出来そうなほどの勢いだった。,내 허벅지와 그의 팔은 애액에 의해 베토리 젖어 있었다.,"그의 말대로 내 허벅지와 그의 팔은 쏟아져 나온 애액으로 축축하게 젖어 있었고, 바닥에는 물웅덩이가 생길 정도로 기세가 대단했다."
グチュグチュ,"질척질척, 찌적찌적, 쥬르륵",의성어,"액체가 섞인 마찰음이나 젖은 상태에서 나는 소리를 나타낸다. 소설의 문맥에 따라 '질척질척'과 같이 상태를 묘사하거나, '찌적찌적'처럼 소리 자체를 강조하는 의성어로 의역해야 한다. 원문의 느낌을 살리되 한국어 소설에서 사용하는 자연스러운 표현을 선택해야 한다.",――グチュ❤　グチュグチュグチュ❤　グジョジョジョジョ❤,그녀의 몸에서 구츄구츄 소리가 났다.,그녀의 몸에서 질척질척거리는 소리가 들려왔다.
ジョジョ,"질퍽, 찌적, 쥬르륵",의성어,"액체가 쏟아지거나 섞이는 소리를 나타내는 의성어로, 문맥에 따라 액체가 튀는 소리인 '질퍽'이나 쏟아져 나오는 소리인 '쥬르륵' 등으로 의역해야 한다. 단순히 소리를 나열하기보다 상황의 농도나 액체의 양에 맞춰 '질퍽질퍽', '찌적찌적'처럼 소설적 허용을 담아 자연스럽게 표현하는 것이 중요하다.",――グチュ❤　グチュグチュグチュ❤　グジョジョジョジョ❤,――구츄❤ 구츄구츄구츄❤ 조조조조❤,――질퍽❤ 질퍽질퍽질퍽❤ 쥬르르륵❤
ダラダラ,줄줄,의성어,"액체가 멈추지 않고 계속해서 흘러나오는 모양을 나타낸다. 문맥상 침이 끊임없이 흐르는 비참한 상황이므로, '줄줄' 또는 '주르륵'과 같이 흐름의 연속성을 나타내는 부사를 사용하여 소설적 허용을 가미해 자연스럽게 번역해야 한다. 단순히 '다라다라'라고 음차하거나 '게으르게'와 같은 사전적 의미로만 한정 짓지 않도록 주의한다.",まるでお預けをくらっていた犬のようにダラダラと涎を垂れ流している自分を惨めにも思えたが、今はそんなことはどうでも良かった。,"마치 기다림을 당하는 개처럼 다라다라 침을 흘리고 있는 자신을 비참하게 생각했지만, 지금은 그런 것은 아무래도 좋았다.","마치 기다림을 당하는 개처럼 줄줄 침을 흘리고 있는 자신의 모습이 비참하게 느껴졌지만, 지금은 그런 건 아무래도 좋았다."
ニタニタ,"히죽히죽, 싱글벙글, 음흉하게",의성어,"상대방을 놀리거나 속내를 다 알면서도 모르는 척할 때, 혹은 기분 나쁘게 웃을 때 사용하는 의태어다. 소설의 문맥에 따라 '히죽히죽'과 같이 비웃는 느낌을 주거나, 상황이 음흉하다면 '음흉하게 웃으며' 등으로 의역하여 인물의 태도를 자연스럽게 묘사해야 한다. '니타니타'를 그대로 음차하는 것은 피해야 한다.",ニタニタと笑いながら彼は聞く。おそらく、彼の事なので私の言わんとしていることがわかっていることだろう。しかし、それをあくまで私の口から言って退けるように彼は誘導する。,니타니타 웃으면서 그는 묻는다.,히죽히죽 웃음을 흘리며 그는 묻는다.
コリコリ,딱딱하게,의성어,"신체 부위가 자극을 받아 단단해진 상태를 나타낸다. 문맥상 유두가 자극을 받아 꼿꼿하게 선 상태를 묘사하므로, '딱딱하게' 혹은 '단단하게'로 의역하여 감각적인 느낌을 살려야 한다. '코리코리'라는 발음을 그대로 옮기거나 '오독오독' 같은 식감 표현으로 직역하는 것을 피해야 한다.",「うおっ！　乳首立ってコリコリじゃん！」,「우와! 유두가 서서 코리코리하잖아!」,「우와! 유두가 서서 딱딱해졌잖아!」
ピリピリ,"찌릿찌릿, 찌릿하게",의성어,"전기적 자극이나 통증, 혹은 감각이 예민하게 곤두선 상태를 나타낸다. 소설적 문맥에서는 감각의 날카로움을 살려 '찌릿찌릿하게 저려오다' 혹은 '찌릿한 감각이 일다'와 같이 상황에 맞춰 자연스럽게 의역해야 한다. 단순히 '피리피리'라고 음차하거나 '따끔따끔'처럼 통증에만 국한하지 않도록 주의한다.",熱のこもった吐息を漏らしながら、私は彼から胸へと与えられる快感を受け入れる。彼の捏ね回すように指の動きによって私の乳首はピリピリと痺れ、感覚は少し鈍麻になりながらも快感だけは確かにそこに蓄積していた。,그의 손가락 움직임에 내 유두는 피리피리하게 저렸다.,"그가 주무르듯 움직이는 손가락 끝에 내 유두는 찌릿찌릿하게 저려왔고,"
ブルブル,"출렁출렁, 출렁이며, 흔들흔들",의성어,"부드러운 질감의 신체 부위가 크게 흔들리는 모양을 나타낸다. 문맥상 유방의 탄력과 움직임을 묘사하므로, 단순히 떨리는 느낌보다는 무게감 있게 흔들리는 '출렁출렁'이나 움직임 자체를 강조하는 '흔들흔들'로 의역하여 관능적인 분위기를 살려야 한다. '부르부르'와 같은 직역은 피한다.",そう言うと、彼はスライムと表現する私の乳房をブルブルと掴んだまま揺すり始めます。ただ強く揉むだけではなく、こうやって緩急をつけた揉み方というのは天性の感覚らしく、いつだって私の興奮を増幅させます。,그는 슬라임이라고 표현하는 나의 유방을 부르부르 잡은 채 흔들기 시작합니다.,"그렇게 말하며, 그는 슬라임 같다고 말한 내 가슴을 출렁출렁 흔들기 시작했다. 단순히 강하게 주무르는 것이 아니라, 이렇게 완급을 조절하며 주무르는 방식은 타고난 감각인 듯 언제나 나의 흥분을 고조시켰다."
マジマジ,"빤히, 뚫어지게",의성어,"상대방이 시선을 피하지 않고 정면으로 응시하는 모양을 나타낸다. 소설적 문맥에서는 '빤히 쳐다보다', '뚫어지게 바라보다'와 같이 동사와 결합하여 자연스럽게 의역해야 한다. 단순히 '빤히'라고만 하기보다 문장의 흐름에 따라 '빤히 바라보는 것' 등으로 풀어쓰는 것이 좋다.",無言でマジマジと見られるのも恥ずかしいが、こういった冷やかし混じりの演出というのも恥ずかしさがある。,"무언으로 마지마지 쳐다보는 것도 부끄럽지만,","말없이 빤히 쳐다보는 것도 부끄럽지만, 이런 놀림조가 섞인 연출 또한 부끄러움이 느껴진다."
キラキラ,반짝반짝,의성어,"눈동자의 빛을 묘사할 때는 '반짝이는', '초롱초롱한' 등으로 의역하여 문장의 문학적 분위기를 살려야 한다. 단순히 빛의 상태만을 나타내는 '반짝반짝'을 넘어, 인물의 생기나 호기심 어린 눈빛을 강조하는 형용사적 표현으로 자연스럽게 녹여내는 것이 중요하다.",くすんだ下心とは対照的なキラキラとした好奇心旺盛な瞳を浮かべながら彼は私の顔を見上げています。何とも楽しそうで、その顔は期待に満ち溢れていました。,그는 반짝반짝한 호기심 왕성한 눈동자를 띄우며 내 얼굴을 올려다보고 있습니다.,"그는 탁한 속마음과는 대조적으로 초롱초롱하게 빛나는, 호기심 가득한 눈동자로 나를 올려다보고 있었다."
ドバドバ,"울컥울컥, 왈칵왈칵, 콸콸",의성어,"액체가 한꺼번에 많이 쏟아져 나오는 모양을 나타낸다. 소설적 문맥에서는 단순히 양이 많음을 넘어, 억제되지 않고 터져 나오는 관능적인 느낌을 살려 '울컥울컥'이나 '왈칵왈칵' 등으로 의역하는 것이 자연스럽다. 상황에 따라 '울컥 쏟아져 나왔다'와 같이 동사와 결합하여 표현하는 것이 좋다.",挿入された細い指は私の膣内で小さくその関節を折り曲げ、膣肉を抉るようにして刺激を加えます。何ともこなれた手さばきで、まるで膣肉を引きずり出されるのではないかと錯覚しそうになるほどの刺激を受け、私の膣からはドバドバと愛液が分泌されて内部を湿らせていました。,나의 질에서는 도바도바하고 애액이 분비되어 내부를 적시고 있었습니다.,나의 질에서는 애액이 울컥울컥 쏟아져 나와 내부를 축축하게 적시고 있었다.
パチパチ,"치익치익, 탁탁",의성어,"기름에 튀김이 튀겨질 때 나는 소리를 나타낸다. 문맥상 요리하는 소리를 묘사하고 있으므로, 한국어 소설의 문체에 맞춰 '치익치익'이나 '탁탁'과 같이 기름이 튀는 생생한 의성어로 의역하는 것이 자연스럽다. 단순히 '파치파치'라고 음차하는 것은 피해야 한다.",股間から漏れ出る水音は徐々にその大きさを増していき、パチパチという唐揚げの揚がる音との間で鮮やかな協奏曲を奏でています。,"가랑이 사이에서 새어 나오는 물소리는 점점 커지더니, 파치파치하고 가라아게가 튀겨지는 소리와 함께 선명한 협주곡을 연주하고 있습니다.","가랑이 사이에서 새어 나오는 물소리는 점점 커져만 갔고, 치익치익 가라아게가 튀겨지는 소리와 어우러져 마치 선명한 협주곡을 연주하는 듯했다."
キンキン,"얼음처럼 차가운, 아주 시원한",의성어,"음료나 얼음 등이 매우 차가운 상태를 나타내는 의태어다. 소설 문맥에서는 단순히 '차갑다'라고 하기보다, 음료의 청량감이나 차가운 온도가 강조되도록 '얼음처럼 차가운', '아주 시원한', '꽁꽁 얼 듯한' 등으로 상황에 맞춰 의역하는 것이 자연스럽다. '킨킨'이라는 음차를 그대로 사용하는 것은 피해야 한다.",その音は、アニメに夢中になっている息子が事前にテーブルの上に置いていたキンキンに冷えたオレンジジュースの入ったコップを置く音でした。,아들이 킨킨하게 차가운 오렌지 주스를 놓았다.,"그 소리는 애니메이션에 열중하던 아들이 미리 테이블 위에 올려두었던, 얼음처럼 차갑게 식은 오렌지 주스 컵을 내려놓는 소리였다."
ドキドキ,두근두근,의성어,"심장 박동 소리를 나타내는 의성어로, 긴장감이나 설렘을 표현할 때 사용한다. 문맥에 따라 '두근거리는', '두근대며' 등으로 변형하여 문장의 흐름을 자연스럽게 조절해야 한다. 단순히 소리만을 묘사하기보다 심장의 울림이나 긴박한 상태를 나타내는 서술적 표현으로 의역하는 것이 소설적 완성도를 높인다.",ドキドキと鳴る心臓の鼓動はうるさいほどに私の身体の中に響き、全身に慌ただしく血液を送っています。キッチンで火は使っていますが部屋の中は冷房を利かせているのでそんなに暑くないはずなのに、緊張から精神性発汗を示す私の身体からは汗が噴き出していました。,"두근두근하고 울리는 심장의 고동은 시끄울 정도로 내 몸 안에 울리고,","두근거리는 심장 박동 소리가 시끄러울 정도로 내 몸속에 울려 퍼지며,"
グリグリ,짓누르듯,의성어,"단단한 것이 무언가를 강하게 압박하거나 비비며 파고드는 모양을 나타낸다. 문맥상 성기 끝이 자궁 입구를 강하게 압박하며 움직이는 상황이므로, 단순히 '빙글빙글'이나 '그리그리' 같은 의태어 직역보다는 '짓누르듯', '꾹꾹', '비비며'와 같이 동작의 압박감이 느껴지는 표현으로 의역하는 것이 소설적 문체에 적합하다.",そうすることで、亀頭の先端がグリグリと子宮の入口に押し当たって激しいディープキスを繰り返す。,"그렇게 함으로써, 귀두의 선단이 그리그리 하고 자궁 입구에 밀려난다.","그렇게 함으로써, 귀두 끝이 자궁 입구를 짓누르듯 강하게 압박하며 격렬한 딥키스를 반복한다."
ゲラゲラ,"껄껄, 낄낄",의성어,"상대방이 예의 없이 혹은 천박하게 크게 웃는 모양을 나타낸다. 문맥상 '하품(下品)'하게 웃는 상황이므로, 단순히 웃는 소리가 아니라 비웃거나 천박하게 웃어대는 느낌을 살려 '껄껄' 혹은 '낄낄'로 의역하는 것이 자연스럽다. 상황에 따라 '낄낄거리며'와 같이 동사형으로 풀어쓰는 것도 좋다.",ゲラゲラと下品に笑いつつ、彼は眼前に揺れ動く私の垂れ下がった乳房に目を向けていた。,"게라게라하고 저질스럽게 웃으면서, 그는 눈앞에서 흔들리는 나의 처진 유방에 눈을 돌렸다.","낄낄거리며 천박하게 웃어대면서도, 그의 시선은 눈앞에서 출렁이는 내 처진 가슴을 향해 있었다."
ペチペチ,"찰싹찰싹, 철썩철썩, 찰팍찰팍",의성어,"피부와 피부가 맞닿아 가볍게 부딪히는 소리를 나타낸다. 문맥상 가슴이 움직이며 피부에 부딪히는 리드미컬한 소리이므로, 소설의 분위기에 따라 '찰싹찰싹' 혹은 조금 더 젖은 느낌을 주려면 '찰팍찰팍' 등으로 의역하여 문장의 호흡을 살려야 한다. '페치페치'와 같은 기계적 음차는 피해야 한다.",そんな私の垂れ下がった乳房は腰の動きに合わせて縦横無尽に空中を跳ねまわる。ペチペチと、浮き上がった乳房が反対の乳房や肌に押し当たってリズミカルは音を奏でる。,"페치페치하고, 떠오른 유방이 반대편 유방이나 피부에 부딪히며 리드미컬한 소리를 연주한다.","찰싹찰싹, 들썩이는 가슴이 반대쪽 가슴이나 피부에 부딪히며 리드미컬한 소리를 만들어냈다."
ゴソゴソ,"부스럭부스럭, 뒤척이며",의성어,"무언가 물체가 쓸리거나 움직이는 소리를 나타낸다. 문맥상 옆구리에 이물질이 닿아 느껴지는 불쾌하거나 생소한 움직임을 묘사하므로, 단순히 소리만을 전달하기보다 '부스럭거리는 무언가가 닿는 느낌' 혹은 '무언가 꿈틀대며 움직이는 듯한 느낌'으로 상황에 맞춰 의역해야 한다. 문장에 따라 '부스럭부스럭', '뒤척이며', '스르륵' 등으로 변주할 수 있다.",それから何時間経っていたのでしょうか、私はふと脇腹あたりになにやらゴソゴソと異物が当たるのに気がついて目が覚めたのです。,옆구리에 무언가 고소고소가 닿는 것을 느끼고 눈을 떴다.,옆구리 근처에서 무언가 부스럭거리며 닿는 느낌이 들어 문득 눈이 떠졌다.
ポッカリ,"뻥하니, 휑하니, 뻥 뚫린 듯",의성어,"구멍이나 빈 공간이 크게 벌어져 있는 모양을 나타낸다. 소설적 문맥에서는 단순히 구멍이 있다는 사실을 넘어, 무언가에 의해 강제로 혹은 허탈하게 벌어진 상태의 시각적 이미지를 강조해야 한다. '포카리'와 같은 일본어 발음을 그대로 옮기지 말고, 상황의 관능미나 시각적 충격을 살려 '뻥하니 벌어진', '휑하게 열린' 등의 표현으로 의역하는 것이 자연스럽다.",Ｍ字の状態になっている脚の真ん中に見える膣は、巨大なものを飲み込んだ後だけに、ポッカリ開いた状態になっていました。そして、溢れてしまうぐらいの白い液体が見えました。,M자 상태인 다리 사이의 질은 포카리 열려 있었습니다.,"M자 형태로 벌어진 다리 사이로 보이는 질은, 거대한 것을 집어삼킨 직후인 듯 뻥하니 입을 벌리고 있었습니다."
ノリノリ,"신이 나서, 흥이 올라서, 아주 신이 난",의성어,"상태나 기분이 매우 고조되어 즐겁게 몰입해 있는 모습을 나타낸다. 문맥에 따라 '신이 나서' 혹은 '흥이 올라서' 등으로 번역하며, 인물의 감정 상태가 매우 고양되었음을 소설적 흐름에 맞춰 자연스럽게 표현해야 한다. 단순히 '노리노리하다'와 같은 외래어식 표현은 피한다.",家内もいつになくノリノリでした。仕事も何もかも忘れて、楽しいひと時が流れていきました。,아내도 평소와 달리 노리노리했습니다.,아내도 평소와 달리 무척 신이 나 있었습니다.
ポタポタ,뚝뚝,의성어,"액체가 끊임없이 떨어지는 모양을 나타낸다. 소설적 문맥에서는 눈물이 계속해서 떨어지는 비극적인 상황을 강조하기 위해 '뚝뚝', '툭툭' 등으로 번역하며, 문장의 흐름에 따라 '뚝뚝 떨어지고 있었다'와 같이 자연스럽게 서술형으로 풀어내는 것이 좋다.",膝の上においた家内の手は涙でベットリと濡れ、なおもポタポタと涙がとめどもなく落ちていたのです。家内はしばらく黙っていましたが、小さい声で話し始めました。,눈물이 포타포타하고 멈추지 않고 떨어지고 있었습니다.,"눈물은 여전히 뚝뚝, 끝도 없이 떨어지고 있었습니다."
ウトウト,"꾸벅꾸벅, 깜빡깜빡",의성어,"잠이 들어 눈꺼풀이 무거워지거나 의식이 흐릿해지는 상태를 나타낸다. 문맥에 따라 '꾸벅꾸벅 졸다', '깜빡 잠이 들다' 등으로 자연스럽게 의역해야 하며, 단순히 '졸다'라고 하기보다 인물의 상태를 묘사하는 부사적 표현을 활용하는 것이 소설적이다.",「あっ、ごめんなさい……少しウトウトしていたの…」,"앗, 미안해요…… 조금 우토우토 하고 있었어요……","“앗, 미안해요…… 잠깐 꾸벅꾸벅 졸고 있었나 봐요……”"
スースー,쌔근쌔근,의성어,"잠든 사람의 고른 숨소리를 나타내는 의성어이다. 문맥상 아내가 안정을 찾고 잠든 평화롭고 나른한 분위기를 살려야 하므로, 한국어 소설 표현에서 가장 자연스러운 '쌔근쌔근' 혹은 '새근새근'으로 의역하는 것이 좋다. 단순히 소리 자체를 묘사하기보다 숨소리의 상태를 나타내는 부사적 표현으로 처리해야 한다.",久し振りのセックス……私も家内もしばらく放心状態のようになり、布団の上に仰向けになって黙って天井を見ていました。肩で大きく息をしていた家内も落ち着いて寝てしまったのか、スースーと寝息を立てているようでした。,"집사람도 진정되어 자버린 건지, 스ースー하고 숨소리를 내고 있는 것 같았습니다.","집사람도 진정되어 잠든 건지, 쌔근쌔근 숨을 쉬며 자고 있는 듯했습니다."
ガンガン,"퍽퍽, 세차게, 거칠게",의성어,"본래 무언가를 강하게 두드리는 소리나 기세가 매우 강함을 나타내는 부사이다. 소설적 문맥에서는 성적인 행위의 격렬함과 타격감을 전달해야 하므로, 단순히 소리를 묘사하기보다 동작의 강도를 나타내는 '퍽퍽' 혹은 '거칠게'와 같은 표현을 사용하여 리듬감 있게 의역하는 것이 자연스럽다.",家内は私の強烈なピストンに喘ぎまくりました。しかし…私の中には何の満足感も達成感もありません。こんなもんじゃだめだ…もっともっと……健太君にできないことを…私は家内の膣の中に深々と挿入したまま、身体を裏返しにすると、バックからガンガン突きはじめました。,뒤에서부터 건건하고 찌르기 시작했습니다.,"뒤에서부터 퍽퍽, 거칠게 몰아붙이기 시작했습니다."
メラメラ,"활활, 이글이글",의성어,"불길이 세차게 타오르는 모양을 나타낸다. 문맥상 주인공의 내면에서 일어나는 뜨거운 열망이나 감정이 폭발하듯 타오르는 상황이므로, 단순히 불이 붙는 느낌보다는 감정의 격동을 표현할 수 있는 '활활' 또는 '이글이글'로 의역하는 것이 소설적 허용으로서 자연스럽다.",あのＤＶＤの映像がちらつき、私の身体の底から炎が点火すると、一瞬にしてメラメラと燃えあがりました。,순식간에 메라메라하고 타올랐습니다.,순식간에 활활 타올랐습니다.
バカバカ,"어처구니없는, 터무니없는, 바보 같은",의성어,"문맥에 따라 '어처구니없다', '기가 막히다', '바보 같다' 등으로 의역할 수 있다. 단순히 지능이 낮다는 의미보다는 상황이나 상대의 말이 너무 황당해서 대꾸할 가치조차 느끼지 못하는 심리 상태를 나타낸다. 소설적 흐름에 맞춰 '말도 안 되는', '황당한' 등의 표현을 사용하여 자연스럽게 문장을 구성해야 한다.",私は聞くのもバカバカしい感じで言いました。,나는 듣는 것도 바카바카한 느낌으로 말했습니다.,나는 묻는 것조차 어처구니없다는 듯이 말했습니다.
トボトボ,"터덜터덜, 힘없이",의성어,"기운이 없거나 낙담하여 발걸음이 무거운 모양을 나타낸다. 소설의 문맥상 화자가 의심과 불안감으로 인해 심리적으로 위축된 상태이므로, 단순히 걷는 모양을 묘사하기보다 '터덜터덜'과 같이 힘없는 발걸음을 강조하거나 '힘없이'와 같이 심리 상태를 반영하여 의역하는 것이 자연스럽다.",今頃あの二人はどうしているんだろうか…恋人同士のように二人だけの時間を楽しみ、抱き合って身体を貪りあっているのか…健太君は昨日は休みを取っていたらしいが、今日は急に休ませて欲しいと連絡してきたと店長は言っていた…これは一体どういうことなのか…旅行というのは日帰りだったのか、それともまったくの嘘なのか…それなら家内は昨日どこで泊まったんだ…まさか二人で駆け落ちしたんじゃないのか……私はトボトボと歩きながらあれこれと考えていました。考えれば考えるほど頭の中が混乱し、悪い想像ばかりしてしまっていたのです。,나는 토보토보 걸으면서 이런저런 생각을 하고 있었습니다.,나는 터덜터덜 걸으며 이런저런 생각을 하고 있었습니다.
ワイワイ,왁자지껄,의성어,"사람들이 모여 즐겁게 떠들거나 북적거리는 소리를 나타낸다. 소설적 문맥에서는 단순히 소리가 난다는 의미를 넘어, 아들과 함께 활기차게 시간을 보내며 분위기를 띄우는 상황이므로 '왁자지껄하게', '떠들썩하게' 등으로 의역하여 문장의 흐름을 자연스럽게 만드는 것이 좋다.",私は何も答えずに、家内のことなどまったく気にしていない素振りで家を出ました。しかし、私の心の中は仕事どころではありませんでした。あいつら、一体どこへ行くつもりなんだ、２日間も一緒に過ごして何回抱き合うつもりなんだ…今まで健太君と家内の行動はすべてわかっていたのに、今日ばかりはまったくわかりません。自分だけ除け者にされた疎外感が強くありました。夜は息子と男二人でワイワイ言いながら食事を作ったりして、それなりには気も紛れたのですが、一人になってしまうともう耐えられませんでした。,밤에는 아들과 남자 둘이서 와이와이 말하며 식사를 만들기도 해서...,밤에는 아들과 남자 둘이서 왁자지껄 떠들며 음식을 만들기도 하며 나름대로 기분 전환을 해보았지만...
パクパク,뻐끔뻐끔,의성어,"입을 벌린 채 아무 말도 하지 못하고 움직이는 모양을 나타낸다. 문맥상 충격적인 고백을 듣고 정신을 못 차리는 상황이므로, 단순히 입을 움직인다는 의미를 넘어 '입만 뻐끔거렸다' 혹은 '입을 뻐끔거릴 뿐이었다'와 같이 서술하여 당혹감을 극대화하는 것이 자연스럽다.",五年ぶりに会った親友の口から突然飛び出した衝撃の告白に、友樹は酸欠の魚みたいな顔で口をパクパクと動かす。,유키는 산소 부족인 물고기 같은 얼굴로 입을 파쿠파쿠 움직인다.,"5년 만에 만난 절친의 입에서 갑자기 튀어나온 충격적인 고백에, 유키는 산소 부족 상태인 물고기처럼 얼굴이 창백해진 채 입만 뻐끔거렸다."
ハッキリ,"또렷하게, 분명하게",의성어,"목소리의 상태나 태도가 흐릿하지 않고 명확함을 나타낸다. 소설적 문맥에서는 단순히 '명확히'라고 하기보다, 목소리의 울림이나 전달력을 강조하여 '또렷하게' 혹은 '분명한 목소리로'와 같이 인물의 태도가 드러나도록 의역하는 것이 자연스럽다.",ハッキリと通る声で、矢那は言い終えると、頭を上げ、さあ、どうぞ、と奥の席２人を誘導した。,"하ッキリ한 목소리로, 야나는 말을 끝내고...","또렷한 목소리로 말을 마친 야나는, 고개를 들며 ""자, 이쪽으로 오세요""라며 안쪽 자리에 있는 두 사람을 안내했다."
